country,variableId,variableName,lineOfBusiness,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
ae,gwp,Direct Premiums,transport,,,,,,,,231441262.7,268744928.7,284448918.2,314413884.1,327740154.4,326126300.6,240322742.6,234164748.7,
ae,gwp,Direct Premiums,freight,,,,,,,,217119663.1,252114975.9,266847201.6,294957933.5,307459573.3,305945585,225451556.4,219674619.6,
ae,gwp,Direct Premiums,property,,,,,,,,422555207.6,446001906.1,581850238.3,617352212.4,684477603.8,658736555.5,593685815.4,611083582.9,
ae,gwp,Direct Premiums,liability,,,,,,,,1693711096,2277233492,2128726481,2166845473,2163857862,2176561470,2008310373,2239229785,
ae,gwp,Direct Premiums,a_s,,,,,,,,584938597.7,840322123.9,1119917495,1351015657,1537528659,1769812389,2695210727,3012590798,
ae,gwp,Direct Premiums,other,,,,,,,,101950714.8,167158066.7,183594009.5,161161334.2,215004765.1,294723213.1,355521099.9,459249931.9,
ao,gwp,Direct Premiums,motor,,,,,,,,,80140364.25,132159867,230878979.5,,,,,
ao,gwp,Direct Premiums,transport,,,,,,,,,42327844.88,23032172.17,62974314.17,,,,,
ao,gwp,Direct Premiums,property,,,,,,,,,167698763.3,310172299.8,231376228.2,,,,,
ao,gwp,Direct Premiums,liability,,,,,,,,,14778761.71,17701152.73,33597471.76,,,,,
ao,gwp,Direct Premiums,a_s,,,,,,,,,121541954.3,164763670.9,218383566.4,,,,,
ao,gwp,Direct Premiums,other,,,,,,,,,23337622.54,1793814.295,12330026.23,,,,,
ar,gwp,Direct Premiums,motor,,,,,,,,,,2691655728,3147048042,3875695379,4594770282,5160015600,4892300138,
ar,gwp,Direct Premiums,transport,,,,,,,,,,49321335.66,59362864.3,62738307.39,59321535.87,61313282.05,52774239.45,
ar,gwp,Direct Premiums,freight,,,,,,,,,,124731727.5,123304275.6,161409618,182623929.1,170551181,146176806.7,
ar,gwp,Direct Premiums,property,,,,,,,,,,938660488.1,1126430445,1650075736,1439646187,1612314644,1494397101,
ar,gwp,Direct Premiums,pecuniary_loss,,,,,,,,,,150953273.1,155015427,193834202.9,219612528.9,217162347.1,210997220,
ar,gwp,Direct Premiums,liability,,,,,,,,,,1689338555,2094667624,2924380543,3615463529,4255408323,3710602204,
ar,gwp,Direct Premiums,a_s,,,,,,,,,,155562232.2,176859354.6,262067974.6,336066918.1,375150693.2,333345224.3,
ar,gwp,Direct Premiums,other,,,,,,,,,,110660691.8,147082714.8,202278141.7,269759370.3,339391541.5,331762879.2,
at,gwp,Direct Premiums,motor,,,2253732387,2892156186,3390992055,3505981144,3590335198,3929127318,4171746851,3909459998,3716751494,4090647576,4036260344,4182818520,4140050629,
at,gwp,Direct Premiums,transport,,,34419221.7,36194474.19,32235885.07,26501260.96,23808537.22,21379130.74,17770718.9,13623355.6,12875354.26,14585110.66,13615788.19,15095752.97,13526281.17,
at,gwp,Direct Premiums,freight,,,70492032.54,92816406.2,104980790.5,110666726.4,112377651.8,126151674.2,150409929.5,130441748.9,126972964.9,147906660.9,155429024,164120824.5,174883560.2,
at,gwp,Direct Premiums,property,,,1614453881,2042515078,2357322608,2466763261,2597255131,2991386943,3381843984,3290293951,3219471452,3450841358,3305011140,3580615385,3669636628,
at,gwp,Direct Premiums,pecuniary_loss,,,61562651.19,77307235.16,99629486.88,130476076.7,151491408.2,185639879.9,210804491.2,191989277.4,210319124.1,246949025.9,130014000.2,140931325.3,141578797,
at,gwp,Direct Premiums,liability,,,452632702.9,586560829.4,683575576,727055683.8,765451817.3,877662796.9,1010575078,973902733.3,950870917.4,1023485090,985220743.9,1046729630,1085290385,
at,gwp,Direct Premiums,a_s,,,524351226.1,655704093.1,748302229.3,784240649.9,822169903.1,946920873.4,1065529894,1048286422,1023488499,1130169329,1095250094,1184979420,1233007103,
at,gwp,Direct Premiums,other,,,346426924.6,440415673.8,523920476.4,559693187.8,597341771.4,672081580.1,780111618.5,783903039.8,767143698.7,828970093.6,737785194.3,801543841.6,854935650.8,
au,gwp,Direct Premiums,motor,,,,,,6504601867,6539129648,7488679756,7884316764,7847536297,10038526885,11628015067,12155078535,12102506692,11979269635,10216054014
au,gwp,Direct Premiums,transport,,,,,,157432145.2,158780406.9,181122690.7,184054232.5,181375204.4,218800672.1,251346525.3,256511689.4,245188522.2,231090586.8,192303868.3
au,gwp,Direct Premiums,freight,,,,,,290898167.5,293389443.2,334672812.7,340089623.3,335139399.4,404293001.8,464430206.1,473974233.9,453051641.5,427001919.9,355333040.9
au,gwp,Direct Premiums,property,,,,,,4590048439,4630219265,5487560941,5792854939,5932788141,7732988254,9334017780,10617431570,11264812182,10783148138,8913728432
au,gwp,Direct Premiums,pecuniary_loss,,,,,,510852567.2,634545022.9,941850976.2,1109650895,943510572.3,1303250579,1200191287,1198825835,1202793735,1192510564,1141785446
au,gwp,Direct Premiums,liability,,,,,,3518782981,3291796508,3720437160,3744858703,3827911910,4224519887,4947432241,4959015077,5032946089,4845871846,4075768942
au,gwp,Direct Premiums,a_s,,,,,,1116250983,1141728871,1263908656,1374705755,1255637495,1443147534,1835404404,1894082650,1823559262,1754010618,1534133533
au,gwp,Direct Premiums,other,,,,,,555075625.2,507937464.9,667598732.9,694597142.2,550579217.3,614810301.6,738499802.2,798871839.6,874494962.2,833222748.5,729182295.6
be,gwp,Direct Premiums,motor,2343348623,2338541238,2585268505,3201579642,3644207935,3711919219,3809667313,4233884785,4623563409,4466811009,4412966639,4830622052,4547166731,4760089624,4831668959,
be,gwp,Direct Premiums,transport,68177809.39,73477544.72,94094929.69,126036850.5,138567197.3,133589880.9,158081355.9,158412152.9,196523004.6,163184636.2,151293414.2,178081775.7,140624512.7,133629114.6,128213647,
be,gwp,Direct Premiums,freight,63958962.33,68930749.71,88272329.62,118237682.4,129992650.5,125323330.9,148299271.8,148609599.1,184362148.9,153086760.9,141931368.4,167062064.4,131922659.2,125360136.7,120279778.6,
be,gwp,Direct Premiums,property,1336152251,1347952724,1563822871,2017526698,2269082048,2256777178,2497504379,2915336011,3239729704,3207298485,3114020656,3340101678,3243568465,3540847918,3630395928,
be,gwp,Direct Premiums,pecuniary_loss,118276271.2,110164907,114333877.6,139100775.7,185256561.7,169289407.7,231041129.1,271385298.6,257354833.5,202023579.6,189733682.9,225456863.3,213409578,231098101.1,224574272.3,
be,gwp,Direct Premiums,liability,508218352.8,512311600.1,580173560.7,720383692,806922876.1,805369461.7,901562666.8,995079428.2,1105890484,1107646523,1050832705,1109331270,1087617488,1148849756,1170709668,
be,gwp,Direct Premiums,a_s,1709461732,1747412468,1917218493,2396378404,2727871788,2860493080,3019858236,3495113694,3941205450,3796650031,3668626806,3905135546,3712812417,3944605520,3973237125,
be,gwp,Direct Premiums,other,431523583.2,430807481.9,496076741.7,610686332.3,698752937.4,710766557.4,727026161.6,851162981.9,925006801.5,915375805.7,949995223.5,1045173483,971913499.7,1078457805,1172038510,
bg,gwp,Direct Premiums,motor,,,,81903030.76,118694979,146054050.5,222651099.9,310439309.9,409143177.3,377278499.4,337868757,351540417.9,313421137.5,,,
bg,gwp,Direct Premiums,transport,,,,4721668.641,5680913.941,6035123.764,11149614.09,10896964.93,11864800.71,8128111.934,8074947.825,8065598.453,7626383.948,,,
bg,gwp,Direct Premiums,freight,,,,4429491.494,5329378.635,5661669.932,10459675.28,10222660.07,11130606.11,7625143.865,7575269.554,7566498.722,7154462.838,,,
bg,gwp,Direct Premiums,property,,,,42500808.86,60494935.95,59776395.99,74524175.94,84019813.28,95317813.57,98211207.29,87232102.12,87975988.75,82974299.01,,,
bg,gwp,Direct Premiums,liability,,,,4636076.289,6784054.093,8576133.301,10129149.45,10964830.72,12012388.99,10275419.64,10461473.98,10542577.16,11085635.09,,,
bg,gwp,Direct Premiums,a_s,,,,3473663.526,4602769.715,4721581.908,6043386.996,15301580.73,20637493.83,16300685.66,15331141.9,15316910.47,15116775.12,,,
bg,gwp,Direct Premiums,other,,,,6816596.193,9461970.182,23763780.2,16520154.16,16260531.96,28660176.64,12963713.69,11055671.03,12361717.03,11085635.09,,,
bh,gwp,Direct Premiums,motor,,,,,,,,125000000,145478723.4,151595744.7,152925531.9,147872340.4,164893617,180976063.8,,
bh,gwp,Direct Premiums,transport,,,,,,,,9468487.202,10291833.91,10840731.72,10977956.18,9742936.106,9605711.654,8341874.449,,
bh,gwp,Direct Premiums,freight,,,,,,,,8882576.628,9654974.596,10169906.57,10298639.57,9140042.617,9011309.623,7825678.742,,
bh,gwp,Direct Premiums,property,,,,,,,,71276595.74,116755319.1,86436170.21,94946808.51,146542553.2,151329787.2,172723404.3,,
bh,gwp,Direct Premiums,pecuniary_loss,,,,,,,,6382978.723,8510638.298,,,10638297.87,11968085.11,11382978.72,,
bh,gwp,Direct Premiums,a_s,,,,,,,,39095744.68,56382978.72,71808510.64,84574468.09,92553191.49,98936170.21,108598404.3,,
bh,gwp,Direct Premiums,other,,,,,,,,12234042.55,11968085.11,50000000,69680851.06,25000000,30053191.49,30465425.53,,
bn,gwp,Direct Premiums,motor,,,,13392854.91,9931138.989,9854010.618,9078891.931,9302356.679,,,,,,,,
bn,gwp,Direct Premiums,property,,,,6035221.968,6176049.083,6508057.01,6738997.282,12738655.2,,,,,,,,
bn,gwp,Direct Premiums,pecuniary_loss,,,,451134.9945,410592.7832,403148.6571,338586.1541,450520.6979,,,,,,,,
bn,gwp,Direct Premiums,liability,,,,2772815.723,3050455.893,3799570.95,4440639.225,8549277.161,,,,,,,,
